task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	cpus
115	91/5b5827	65683895	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (HG008-PB-TO)	CACHED	0	2026-01-08 23:36:00.096	43m 41s	42m 21s	155.2%	269.3 MB	743.5 MB	57.9 GB	14.6 MB	6
49	f9/812aad	65681830	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (COLO829-PB-TO)	CACHED	0	2026-01-08 17:52:39.519	6h 17m 56s	1h 38m 10s	1787.9%	42.4 GB	47.3 GB	982.4 GB	977.2 GB	24
119	0a/719c7f	65683950	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:TUMOR_ONLY_HAPPHASE:CLAIRSTO (HG008-ONT-TO)	CACHED	0	2026-01-08 23:47:10.159	3h 34m 31s	1h 43m 37s	1734.0%	115.9 GB	117.1 GB	2.7 TB	785.3 GB	24
130	23/2073ac	65684022	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (COLO829-PB)	CACHED	0	2026-01-09 00:22:10.167	36m 16s	35m 39s	116.8%	246.4 MB	762.1 MB	60.3 GB	13.7 MB	6
111	b2/8a7a49	65683885	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (HG008-PB-TO)	CACHED	0	2026-01-08 23:35:31.232	4m 35s	3m 54s	390.6%	184.6 MB	549.3 MB	57.9 GB	700 B	2
194	8b/1b4936	65684464	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (CCS15-ONT)	CACHED	0	2026-01-09 04:49:45.901	5m 36s	4m 51s	388.5%	204.4 MB	553.2 MB	100.3 GB	681 B	2
195	11/a755c4	65684462	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (CCS15-ONT)	CACHED	0	2026-01-09 04:49:26.987	4m 10s	3m 8s	314.0%	1.9 GB	2.4 GB	101.3 GB	2.8 MB	6
197	e7/d7db0f	65684465	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CCS15-ONT)	CACHED	0	2026-01-09 04:49:55.888	17m 56s	17m 21s	146.1%	7.3 GB	7.8 GB	100.3 GB	383.9 MB	6
144	ef/718d01	65684312	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (CCS15-ONT)	CACHED	0	2026-01-09 02:26:01.619	2h 34m 25s	1h 38m 7s	1524.8%	50.4 GB	57.6 GB	1.1 TB	1.2 TB	24
128	30/a13bb1	65683999	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (COLO829-PB-TO)	CACHED	0	2026-01-09 00:11:15.138	30.7s	5s	2.2%	6.3 MB	10.5 MB	26.7 MB	94 KB	1
206	2b/20c1af	65684473	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CCS15-ONT)	CACHED	0	2026-01-09 05:00:55.884	35.7s	0ms	72.6%	6.1 MB	10.5 MB	47.8 MB	94.1 KB	1
202	39/097635	65684470	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (CCS15-ONT)	CACHED	0	2026-01-09 05:00:26.995	7m 45s	6m 23s	396.0%	248.8 MB	1 GB	135.8 GB	682 B	2
127	b3/2f3e83	65683997	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (COLO829-PB-TO)	CACHED	0	2026-01-09 00:10:55.273	6m 31s	5m 40s	114.4%	7.3 MB	208.4 MB	60.3 GB	5.4 KB	1
204	e8/af9b97	65684475	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (CCS15-ONT)	CACHED	0	2026-01-09 05:01:15.922	3m 11s	2m 52s	452.5%	1.9 GB	2.4 GB	136.8 GB	3.4 MB	6
